assembly_accession,locus_tag,product_accession,contigID,start,end
GCA_000230715.3,Natgr_1399,AFZ72610.1,,1390703,1391386
GCA_000970265.1,MSLAZ_2290,AKB75551.1,,2975643,2978066
GCA_900079115.1,SSOP1_1525,SAI85079.1,,1340732,1341376
GCA_000189935.2,AABMKBHA_00165,AABMKBHA_00165,,33470,34630
GCA_000979385.1,EO92_18095,KKG11218.1,,53457,54251
GCA_002214545.1,A3L14_03750,ASJ12047.1,,688516,689232
GCA_900110455.1,SAMN05216285_2230,SEW10174.1,,146982,149573
GCA_900064395.1,ENBABGMI_01341,ENBABGMI_01341,,3745,5319
GCA_001560285.1,JHIJBACK_02347,JHIJBACK_02347,,54203,54868
GCA_000824705.1,OHAAOFPH_01346,OHAAOFPH_01346,,7387,7557
GCA_001484685.1,ADU37_CDS18330,ALV63532.1,,1551278,1551724
GCA_000327485.1,Metfor_2152,AGB03158.1,,2108915,2109667
GCA_002509565.1,KCGEAFKK_02311,KCGEAFKK_02311,,37594,38577
GCA_000337895.1,C446_13599,EMA34112.1,,5171,7248
GCA_002897955.1,BMS3Bbin15_00561,GBE54408.1,,387,968
GCA_000979205.1,DU75_06035,KKH61003.1,,38777,39598
GCA_000007005.1,SSO1440,AAK41673.1,,1292310,1293857
GCA_000245195.2,GPBCAKMG_02844,GPBCAKMG_02844,,855722,856501
GCA_000243315.1,MetMK1DRAFT_00004130,EHP69911.1,,197157,198752
GCA_000979665.1,DU67_07650,KKG64890.1,,14835,15908
GCA_000211475.1,PNA2_1828,AEC52743.1,,1709652,1710464
GCA_000195935.2,PAB1686,CAB49936.1,,983536,984486
GCA_001560755.1,BMOELBDG_00694,BMOELBDG_00694,,666848,667642
GCA_002499035.1,ILHJLMCN_01534,ILHJLMCN_01534,,133676,135034
GCA_000979105.1,DU44_12250,KKH16201.1,,19044,19646
GCA_001719125.1,BFU36_00040,AOL17554.1,,20977,21867
GCA_000022425.1,M1627_2195,ACP56058.1,,2042969,2043577
GCA_002496395.1,IGMDNGJB_01896,IGMDNGJB_01896,,7539,8279
GCA_000245215.2,AENHFAFO_01044,AENHFAFO_01044,,974371,977535
GCA_002215445.1,NJIMJNHF_02049,NJIMJNHF_02049,,1895165,1896001
GCA_002506225.1,ONAJANBF_01126,ONAJANBF_01126,,222,482
GCA_000970265.1,MSLAZ_2288,AKB75549.1,,2973956,2974945
GCA_001316085.1,CIBGEIDD_02458,CIBGEIDD_02458,,9377,10912
GCA_001266735.1,MsedE_1189,AKV83176.1,,1134540,1135184
GCA_000214415.1,Metig_1342,AEF96877.1,,1358189,1359004
GCA_000970025.1,MSBRM_0212,AKB53210.1,,238272,238961
GCA_000213215.1,Ahos_1727,AEE94604.1,,1561363,1562121
GCA_000275605.1,PFC_04815,AFN03910.1,,869768,870277
GCA_001953745.1,A6E15_08065,OLZ40950.1,,1615371,1616363
GCA_002010155.1,KDDMKHMK_02106,KDDMKHMK_02106,,995,1945
GCA_000245275.2,BBOLJCCI_00894,BBOLJCCI_00894,,840210,841001
GCA_000011205.1,STK_00150,BAB64963.1,,19416,20111
GCA_000011205.1,STK_17510,BAK54652.1,,1763016,1763801
GCA_002506415.1,PDIAOGOC_00262,PDIAOGOC_00262,,7608,9044
GCA_001316245.1,HKNNLONN_01292,HKNNLONN_01292,,7769,8332
GCA_001560045.1,GGCEIJFO_02279,GGCEIJFO_02279,,22489,23778
GCA_000744315.1,JGLJJCKF_00001,JGLJJCKF_00001,,3224,3901
GCA_000970285.1,MSHOH_1502,AKB77985.1,,1805881,1806459
GCA_000978945.1,DU49_19765,KKG31107.1,,2035,3798
GCA_000007225.1,PAE0080,AAL62547.1,,43194,43481
GCA_000152265.2,FACI_IFERC00001G0003,AGO59983.1,,2686,3672
GCA_000979265.1,DU80_04820,KKH82261.1,,21273,21875
GCA_000739065.1,JH146_0434,AIJ05284.1,,431954,432217
GCA_002078355.1,FAD_0945,ARD84829.1,,932202,932939
GCA_001729285.1,A9507_03675,OEC88791.1,,122397,122990
GCA_000979455.1,EO98_16390,KKG21965.1,,163853,164476
GCA_000213215.1,Ahos_1052,AEE93936.1,,955734,956210
GCA_001560795.1,DKHEPMGO_02362,DKHEPMGO_02362,,105589,106494
GCA_000190315.1,VMUT_1490,ADY01695.1,,1476978,1477955
GCA_002116695.1,B6F84_00140,ARM74592.1,,65092,65850
GCA_900079115.1,SSOP1_2124,SAI85678.1,,1876048,1879185
GCA_001560355.1,DBFJMMEK_01692,DBFJMMEK_01692,,81597,82499
GCA_000632495.1,CM19_12935,EZQ01515.1,,7401,8420
GCA_002506785.1,NPDCBHLA_01446,NPDCBHLA_01446,,1093,1605
GCA_000008085.1,NEQ022,AAR38876.1,,19294,21561
GCA_001560755.1,BMOELBDG_00572,BMOELBDG_00572,,555785,556702
GCA_000234805.1,P186_0879,AET32320.1,,747772,750840
GCA_001560455.1,GALLAPDK_01853,GALLAPDK_01853,,403917,404213
GCA_000265525.1,CL1_0380,AFL94591.1,,344398,344970
GCA_000337115.1,C478_02472,ELZ16931.1,,43306,44094
GCA_002317795.1,COA77_03660,PBO85437.1,,20741,21982
GCA_000747605.1,HA72_1170,AIM27317.1,,1134518,1135150
GCA_002010045.1,GLICIPPC_00008,GLICIPPC_00008,,12625,13521
GCA_001602375.1,OGFGJDIP_01231,OGFGJDIP_01231,,183658,184593
GCA_000816105.1,X802_10210,AJC72482.1,,1791691,1792425
GCA_000979555.1,DU41_00575,KKG47305.1,,3724,4557
GCA_000970065.1,MSBR2_1621,AKB58137.1,,2099185,2099730
GCA_000245195.2,GPBCAKMG_01936,GPBCAKMG_01936,,7618,8454
GCA_002287195.1,ASJ82_02790,PAV07477.1,,12963,13670
GCA_000979575.1,DU38_17465,KKG48143.1,,71308,71508
GCA_000007005.1,SSO1998,AAK42188.1,,1816948,1817670
GCA_001560465.1,KFLHJACK_02039,KFLHJACK_02039,,33354,33959
GCA_900109595.1,SAMN05216439_0206,SEL22651.1,,60727,61722
GCA_001560045.1,GGCEIJFO_02156,GGCEIJFO_02156,,77599,78504
GCA_000474235.1,MBEHAL_2380,GAD53620.1,,4120,4851
GCA_001316265.1,DKJMNHKE_00635,DKJMNHKE_00635,,170319,170594
GCA_900003505.1,IELIHILI_03187,IELIHILI_03187,,44973,46091
GCA_002214525.1,A3L12_06400,ASJ11339.1,,1188539,1189051
GCA_001719125.1,BFU36_00050,AOL15392.1,,23130,23858
GCA_001484685.1,ADU37_CDS18170,ALV63516.1,,1531550,1532845
GCA_001940665.1,OdinLCB4_00020,OLS18981.1,,898,1173
GCA_001560115.1,CMGKDJEF_00766,CMGKDJEF_00766,,754766,755233
GCA_002495365.1,NCFLBJAK_01381,NCFLBJAK_01381,,71779,73137
GCA_002214585.1,A3L09_05935,ASJ02828.1,,1107319,1107576
GCA_000979815.1,DU51_17195,KKH12499.1,,8137,8427
GCA_000144915.1,ASAC_0005,ADL18414.1,,3312,3596
GCA_000496135.1,AMDU2_EPLC00006G0160,EQB66603.1,,165927,166217
GCA_001560795.1,DKHEPMGO_00034,DKHEPMGO_00034,,37062,37817
GCA_000979475.1,EO96_18820,KKG25600.1,,96049,97266
GCA_000190135.2,DPECFMIL_01781,DPECFMIL_01781,,33768,34241
GCA_001560515.1,BIICEEPG_01839,BIICEEPG_01839,,117197,117862
GCA_000270325.1,CSUB_C0696,BAJ50555.1,,666878,668191
GCA_002197185.1,CDI07_04410,ASA77566.1,,792205,792846
GCA_001560355.1,DBFJMMEK_01758,DBFJMMEK_01758,,21942,22778
GCA_000978945.1,DU49_01440,KKG30120.1,,68534,69355
GCA_001560035.1,OFPDGDDC_00454,OFPDGDDC_00454,,230834,231685
GCA_002507025.1,OJGHGGOH_01763,OJGHGGOH_01763,,42475,43203
GCA_001571385.1,LMGJKCFM_01446,LMGJKCFM_01446,,1416732,1417286
GCA_000970165.1,MSMAW_0741,AKB39732.1,,894046,895167
GCA_002508805.1,NGACKDAF_00773,NGACKDAF_00773,,4920,5654
GCA_000245275.2,BBOLJCCI_00935,BBOLJCCI_00935,,885236,886150
GCA_000979335.1,DU31_20200,KKG08057.1,,58140,60158
GCA_900248165.1,NCAV_1779,SPC34942.1,,1556748,1557767
GCA_001560085.1,KKBOFOMO_01983,KKBOFOMO_01983,,541104,541571
GCA_000968355.1,SULB_2315,AKA74479.1,,2131599,2132243
GCA_000151085.1,ABOONEI_1369,EDY34569.1,,44800,45723
GCA_001560135.1,GGEFHGDP_00029,GGEFHGDP_00029,,35168,37168
GCA_001560165.1,FJIOONJO_00225,FJIOONJO_00225,,26643,27494
GCA_002487355.1,AOIFKBFE_02809,AOIFKBFE_02809,,105643,106341
GCA_002505535.1,BAMHNMGP_00965,BAMHNMGP_00965,,5195,5791
GCA_002498375.1,INDGFGCA_00798,INDGFGCA_00798,,120293,121225
GCA_000022365.1,TGAM_1293,ACS33795.1,,1214508,1215311
GCA_000969945.1,MSKOL_0591,AKB46368.1,,730011,732431
GCA_001304615.1,AOB57_05630,KPL46296.1,,122248,123900
GCA_002011165.1,KINEACGF_00362,KINEACGF_00362,,108805,109527
GCA_000175555.1,DGMHJNOM_00095,DGMHJNOM_00095,,3508,6645
GCA_001315825.1,KMAIBEBD_02237,KMAIBEBD_02237,,21278,22177
GCA_002011035.1,IKDALMAK_00284,IKDALMAK_00284,,263177,265120
GCA_000979375.1,DU40_13495,KKG01273.1,,22491,23081
GCA_002509495.1,POINIJML_01945,POINIJML_01945,,6694,7959
GCA_001315925.1,GCPPHECD_01406,GCPPHECD_01406,,24721,24951
GCA_001316065.1,OGMKPEKF_01187,OGMKPEKF_01187,,27695,28507
GCA_002506455.1,ADCKCHDA_00731,ADCKCHDA_00731,,40279,42291
GCA_000007305.1,PF0393,AAL80517.1,,401435,402160
GCA_002116695.1,B6F84_00125,ARM74589.1,,63252,63809
GCA_002506085.1,GIHHICAA_00850,GIHHICAA_00850,,25473,26339
GCA_002712825.1,CL958_00540,MBE01584.1,,19036,20070
GCA_000024625.1,Metvu_0002,ACX71875.1,,1045,2013
GCA_002215485.1,NDPOHDCN_02038,NDPOHDCN_02038,,1868843,1869748
GCA_900079115.1,SSOP1_1522,SAI85076.1,,1337345,1338136
GCA_002497655.1,JKPBIJGD_00100,JKPBIJGD_00100,,99622,100287
GCA_002497785.1,GDFJBHCA_00583,GDFJBHCA_00583,,23042,24088
GCA_001560685.1,ILGFBMPN_02064,ILGFBMPN_02064,,50395,51579
GCA_000789255.1,GACE_1646,AIY90677.1,,1363337,1364725
GCA_000016605.1,Msed_1150,ABP95311.1,,1094655,1095170
GCA_000190055.2,FPKNIGDP_02037,FPKNIGDP_02037,,9371,9844
GCA_001560515.1,BIICEEPG_01835,BIICEEPG_01835,,110586,112586
GCA_000978965.1,DU33_04650,KKG54569.1,,50327,51001
GCA_002495725.1,GIJNIGPB_01065,GIJNIGPB_01065,,14814,16295
GCA_001266655.1,MsedA_1165,AKV74181.1,,1094414,1094674
GCA_001316325.1,BIOFJFDG_03472,BIOFJFDG_03472,,19,477
GCA_001507975.1,XD46_1324,KUK03945.1,,323,1201
GCA_002496705.1,OJKIBACN_00296,OJKIBACN_00296,,6975,7700
GCA_001914405.1,BTN85_1302,OKY78799.1,,1262815,1263093
GCA_002952775.1,AArcSl_0555,AUX08205.1,,568729,569715
GCA_000336715.1,C451_00510,EMA56840.1,,69398,69658
GCA_002505195.1,DCJDHHKN_01544,DCJDHHKN_01544,,5549,7951
GCA_000024305.1,LD85_0930,ADB86634.1,,780184,781053
GCA_000402095.1,KKBKDMBF_00472,KKBKDMBF_00472,,4609,7005
GCA_002506415.1,PDIAOGOC_00264,PDIAOGOC_00264,,9754,11619
GCA_000784335.1,KKEKIMBA_03646,KKEKIMBA_03646,,3591,6182
GCA_002507065.1,PBMPGCGL_00189,PBMPGCGL_00189,,12713,13585
