===
WP_069582264.1	112331..114140	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582265.1	114277..115624	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582268.1	115721..116879	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_176720169.1	118435..118816	-	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582289.1	118944..119310	-	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582299.1	120162..120486	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582302.1	120486..120669	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582304.1	121421..121739	-	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582305.1	121879..122092	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582310.1	122396..122990	-	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582314.1	123534..124257	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582317.1	124280..125786	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582319.1	125782..126712	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582320.1	126725..127376	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582322.1	127411..129853	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582324.1	129896..130412	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582327.1	130475..131441	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
WP_069582332.1	131463..131727	+	Methanobacterium sp. A39 contig_12-GCF_001729285.1	NZ_LZPM01000003.1
